등록기관,종별,의료기관명,전화번호,소재지(지번),소재지(도로명),인허가일자
전라남도 고흥군 보건소,치과의원,정형주치과의원,061-834-0022,전라남도 고흥군 고흥읍 서문리,전라남도 고흥군 고흥읍 원동남계길 26,1991-12-13
전라남도 영광군 보건소,한의원,골든벨유담한의원,061-351-7775,,"전라남도 영광군 영광읍 신남로 168, 2층",2017-04-18
전라남도 순천시 보건소,치과의원,순천수치과,061-752-6511,가곡동977-6(2층),,1998-05-25
전라남도 담양군 보건소,,담양군대전면삼산보건진료소,061-382-5862,전라남도 담양군 대전면 행성리 28-7 보건진료소,"전라남도 담양군 대전면 덕진옥산길 6, 보건진료소",1982-10-04
전라남도 여수시 보건소,치과의원,서울치과의원,061-692-3835,전남 여수시 학동 61 이레타운 204호,"전라남도 여수시 무선로 6 (학동, 이레타운)",2005-06-23
전라남도 여수시 보건소,치과의원,서울연합치과의원,061-684-7528,전남 여수시 신기 12-7,"전라남도 여수시 새터로 104, 2층 (신기동)",2008-07-03
전라남도 나주시 보건소,,나주시세지면성산보건진료소,061-331-5671,전라남도 나주시 세지면 성산리 333번지 2호,전라남도 나주시 세지면 성산덕산길 9-14 (세지성산보건진료소),1989-07-01
전라남도 나주시 보건소,,나주시왕곡면신원보건진료소,061-337-4355,전라남도 나주시 왕곡면 신원리 71번지 3호,전라남도 나주시 왕곡면 예향로 3320 (왕곡신원보건진료소),1989-07-01
전라남도 여수시 보건소,의원,미즈산부인과의원,061-686-7570,전라남도 여수시 학동,"전라남도 여수시 시청로 34, 203호 (학동, 이레타운)",2007-07-20
전라남도 목포시 보건소,한의원,샬롬한의원,061-277-1089,,"전라남도 목포시 삼학로 329, 2층 (용해동)",2008-03-28
전라남도 여수시 보건소,의원,한이비인후과의원,061-686-7275,전라남도 여수시 학동,"전라남도 여수시 무선로 6, 302-1호 (학동, 이레타운)",2007-06-22
전라남도 보성군 보건소,의원,벌교맑은의원,061-858-1077,전라남도 보성군 벌교읍 벌교리 737-15,"전라남도 보성군 벌교읍 채동선로 224, 2층",2020-10-21
전라남도 광양시 보건소,의원,조기섭내과의원,061-793-7501,전라남도 광양시 중동 1676-6,,2002-01-28
전라남도 순천시 보건소,의원,임종채내과의원,061-744-7582,전라남도 순천시 조례동 1587-11,"전라남도 순천시 순광로 6, 2~3층 (조례동)",2015-07-13
전라남도 광양시 보건소,한의원,경희튼튼한의원,061-763-8882,전라남도 광양시 광양읍 칠성리 901번지 5호 3층,"전라남도 광양시 광양읍 칠성로 45, 3층",2013-11-07
전라남도 목포시 보건소,의원,목포을지의원,061-243-2288,"전라남도 목포시 중앙동1가 3-4번지 1,2층","전라남도 목포시 번화로 39-1, 1~2층 (중앙동1가)",1998-05-04
전라남도 고흥군 보건소,,고흥군금산면오천보건진료소,,,전라남도 고흥군 금산면 오천서당길 14-11,1984-11-09
전라남도 고흥군 보건소,,고흥군금산면신평보건진료소,,,전라남도 고흥군 금산면 평산1길 14,1986-10-30
전라남도 고흥군 보건소,,고흥군금산면연홍보건진료소,061-844-4650,,전라남도 고흥군 금산면 연홍길 30,1987-08-30
전라남도 신안군 보건소,,안좌면보건지소,061-262-4024,,전라남도 신안군 안좌면 김환기길 3-2,1978-01-05
전라남도 여수시 보건소,치과의원,수치과의원,061-654-2275,전라남도 여수시 여서동 220번지 5호,전라남도 여수시 여서1로 87 (여서동),2013-09-26
전라남도 여수시 보건소,치과의원,사랑치과의원,061-682-2875,,"전라남도 여수시 소라면 죽림로 21, 2층",2014-01-07
전라남도 여수시 보건소,치과의원,죽림치과의원,061-691-0202,,전라남도 여수시 소라면 죽림로 3,2015-07-28
전라남도 여수시 보건소,,사곡보건진료소,061-686-1057,,전라남도 여수시 소라면 상사길 21,1981-09-15
전라남도 여수시 보건소,,율림보건진료소,061-644-6621,,전라남도 여수시 돌산읍 향일암로 269-6,1982-12-05
전라남도 여수시 보건소,,죽포보건진료소,061-644-3615,,전라남도 여수시 돌산읍 돌산로 2080-8,1981-09-15
전라남도 여수시 보건소,,묘도보건진료소,061-685-3386,전라남도 여수시 묘도동 1676번지 1호,전라남도 여수시 묘도10길 6 (묘도동),1982-10-02
전라남도 여수시 보건소,,평사보건진료소,061-644-5745,,전라남도 여수시 돌산읍 평사로 560-6,1983-10-01
전라남도 여수시 보건소,,상봉보건진료소,061-686-0360,,전라남도 여수시 율촌면 상봉1길 1 (상봉보건 진료소),1982-12-16
전라남도 여수시 보건소,,여자보건진료소,061-666-9574,,전라남도 여수시 화정면 마파지길 17,1983-10-01
전라남도 여수시 보건소,,화태보건진료소,061-665-9208,,전라남도 여수시 남면 화태길 28,1983-12-05
전라남도 목포시 보건소,의원,박이비인후과의원,061-244-6576,전라남도 목포시 상락동2가 6번지,,1974-09-05
전라남도 장성군 보건의료원,의원,장성중앙내과의원,061-392-8575,전라남도 장성군 장성읍 영천리 930번지 3호,,2009-03-09
전라남도 화순군 보건소,한의원,전남한의원,061-375-0026,전라남도 화순군 화순읍 교리 213번지,전라남도 화순군 화순읍 쌍충로 118-5,2006-08-07
전라남도 순천시 보건소,의원,스마트 신경외과의원,061-741-0005,전라남도 순천시 가곡동 1001번지 8호,"전라남도 순천시 중앙로 314, 2~3층 (가곡동)",2020-06-24
전라남도 광양시 보건소,의원,우리신경외과의원,061-761-7533,전라남도 광양시 광양읍 칠성리 182번지 9호,"전라남도 광양시 광양읍 칠성로 56, 4,5층",2015-08-07
전라남도 해남군 보건소,,옥천면보건지소,061-530-5688,전라남도 해남군 옥천면 영춘리 941번지 6호,전라남도 해남군 옥천면 해강로 24,1900-01-01
전라남도 구례군 보건의료원,,구례군산동면이평보건진료소,061-782-8780,,전라남도 구례군 산동면 이촌길 4 (이평보건진료소),1989-06-22
전라남도 해남군 보건소,의원,제일의원,061-532-3337,,전라남도 해남군 화원면 청용1길 4,1996-03-23
전라남도 장흥군 보건소,의원,김종필내과의원,061-863-7520,전라남도 장흥군 장흥읍 건산리 386-3,,1999-03-27
전라남도 해남군 보건소,치과의원,조성한치과의원,061-535-2752,전라남도 해남군 북평면 남창리 352번지,,2002-04-06
전라남도 나주시 보건소,치과의원,수성치과의원,061-333-2822,전라남도 나주시 이창동 189번지2호,전라남도 나주시 예향로 3811 (이창동),2003-11-11
전라남도 구례군 보건의료원,치과의원,소치과의원,061-782-8418,구례군구례읍봉동리309-4,,1999-12-01
전라남도 구례군 보건의료원,치과의원,이병인치과의원,061-782-8300,구례군구례읍봉동리333-2,,1996-05-07
전라남도 여수시 보건소,치과의원,아름다운치과의원,061-683-2800,전남 여수시 안산동 441-1,"전라남도 여수시 소호로 659, 3층 (안산동, 부영상가)",2000-12-12
전라남도 영광군 보건소,,묘량보건지소,061-350-5673,전라남도 영광군 묘량면 영양리,전라남도 영광군 묘량면 묘량로 283,1985-12-01
전라남도 광양시 보건소,,죽천보건진료소,061-797-4089,전라남도 광양시 옥룡면 죽천리 761번지 12호,전라남도 광양시 옥룡면 내천길 4,1981-09-15
전라남도 해남군 보건소,의원,위형중내과의원,061-537-2266,,전라남도 해남군 해남읍 중앙2로 91,2005-03-18
전라남도 해남군 보건소,의원,박진비뇨기과의원,061-536-9933,전라남도 해남군 해남읍 해리 458-1,,1996-04-29
전라남도 여수시 보건소,한의원,이상문경희한의원,061-685-3415,,전라남도 여수시 성산로 5 (화장동),1992-04-06
전라남도 광양시 보건소,치과의원,우리치과의원,061-762-2872,전라남도 광양시 광양읍 인동리 411번지 10호 (3층),,2002-12-30
전라남도 영암군 보건소,,삼호읍보건지소,061-470-2671,전라남도 영암군 삼호읍 용앙리 249번지 10호,전라남도 영암군 삼호읍 세가래1길 10-6,2007-04-17
전라남도 강진군 보건소,,강진군신전면송천보건진료소,061-430-3585,,전라남도 강진군 신전면 운주로 331 (송천보건진료소),1988-01-01
전라남도 영암군 보건소,,영암군보건소,061-470-6524,전라남도 영암군 영암읍 춘양리 525번지,전라남도 영암군 영암읍 오리정길 39,1962-06-04
전라남도 강진군 보건소,,강진군대구면계율보건진료소,061-430-3582,,전라남도 강진군 대구면 계율길 41 (계율보건진료소),1988-01-01
전라남도 광양시 보건소,의원,중앙의원,061-794-0112,전라남도 광양시 광영동 717번지 15호,전라남도 광양시 광영로 46 (광영동),2003-09-01
전라남도 광양시 보건소,의원,한솔의원,061-763-6613,전라남도 광양시 광양읍 인동리 262번지 9호,전라남도 광양시 광양읍 숲샘길 129,1997-05-08
전라남도 목포시 보건소,치과의원,해바라기치과의원,061-279-2886,전라남도 목포시 산정동 1768-10번지 3층,"전라남도 목포시 청호로 172, 3층 (산정동)",2004-07-12
전라남도 목포시 보건소,치과의원,한사랑치과의원,061-276-7751,전라남도 목포시 용해동 211-4번지,전라남도 목포시 영산로 347 (용해동),2003-12-22
전라남도 목포시 보건소,치과의원,강동호치과의원,061-284-2175,전라남도 목포시 옥암동 1030-9번지 3층,"전라남도 목포시 부흥로 80, 3층 (옥암동)",2002-12-02
전라남도 강진군 보건소,의원,주메디컬,,,,2014-04-15
전라남도 여수시 보건소,,남면보건지소,061-659-1217,전라남도 여수시 남면 우학리 680번지 7호,전라남도 여수시 남면 금오로 858,2000-01-01
전라남도 목포시 보건소,의원,이화산부인과의원,061-282-7582,전라남도 목포시 상동 991-2번지,,1999-05-01
전라남도 목포시 보건소,치과의원,서강치과의원,061-279-7528,전라남도 목포시 연산동 1262-2번지 2층,,1999-07-10
전라남도 여수시 보건소,,화양보건지소,061-659-1174,전라남도 여수시 화양면 나진리 457번지 2호,전라남도 여수시 화양면 화양로 1436-5,2000-01-01
전라남도 순천시 보건소,의원,웰의원,061-721-5509,전라남도 순천시 왕지동 860번지 4호,"전라남도 순천시 왕지로 39, 3층 (왕지동)",2013-01-16
전라남도 강진군 보건소,의원,김안과의원,061-432-1532,,"전라남도 강진군 강진읍 평동2길 30, 2층 202호 (지스퀘어2층)",2013-10-01
전라남도 순천시 보건소,의원,신대성모안과의원,061-725-0033,전라남도 순천시 해룡면 신대리 1978번지 4층,"전라남도 순천시 해룡면 향매로 67, 4층",2018-11-30
전라남도 여수시 보건소,치과의원,이석진치과의원,061-653-2897,전남 여수시 여서동 228-6,전라남도 여수시 여서1로 62 (여서동),1997-05-01
전라남도 여수시 보건소,치과의원,하얀치과의원,061-653-7538,전남 여수시 둔덕동 476-1,전라남도 여수시 쌍봉로 372 (둔덕동),2000-04-26
전라남도 목포시 보건소,치과의원,유형치과의원,061-245-2275,전라남도 목포시 상동 251번지 38호,"전라남도 목포시 영산로 559, 2층 (상동)",2012-11-01
전라남도 화순군 보건소,치과의원,연합치과의원,061-373-2875,전라남도 화순군 화순읍 교리 100번지 10호,,1989-04-24
전라남도 순천시 보건소,치과의원,이바른치과의원,061-741-0275,전라남도 순천시 오천동 956번지 2호,"전라남도 순천시 오천7길 28, 4층 401호 (오천동)",2016-09-06
전라남도 화순군 보건소,의원,서울비뇨기과의원,061-375-9900,전라남도 화순군 화순읍 교리 100번지 14호,,1998-11-18
전라남도 화순군 보건소,의원,송광수마취통증의학과의원,061-375-7582,전라남도 화순군 화순읍 교리 383,전라남도 화순군 화순읍 칠충로 145,1999-06-10
전라남도 화순군 보건소,의원,화순연세안과의원,061-371-0334,,"전라남도 화순군 화순읍 자치샘로 48, 204,205호 (미래타워)",2008-12-22
전라남도 화순군 보건소,치과의원,허명치과의원,061-375-2275,전라남도 화순군 화순읍 향청리 83번지 1호,,2000-07-04
전라남도 목포시 보건소,치과의원,필치과의원,061-276-7528,전라남도 목포시 용해동 976번지 2호,"전라남도 목포시 용해지구로 12, 2층 (용해동)",2006-04-13
전라남도 화순군 보건소,의원,춘양삼성의원,061-371-7555,전라남도 화순군 춘양면 석정리 573번지 16호,,2003-03-31
전라남도 여수시 보건소,의원,메리놀의원,061-642-8775,전라남도 여수시 봉산동 269-43,,1991-03-21
전라남도 여수시 보건소,의원,한마음가정의원,061-651-7503,전라남도 여수시 문수동 479-1,,1999-08-24
,의원,백이비인후과의원,061-393-8250,,전라남도 장성군 장성읍 영천로 125-1,2015-02-04
,의원,전대가정의원,061-393-8528,,전라남도 장성군 장성읍 영천로 208-1,2002-04-04
,의원,장성중앙내과의원,061-392-8575,전라남도 장성군 장성읍 926번지 8호,전라남도 장성군 장성읍 영천로 128,2009-03-16
전라남도 완도군 보건의료원,,완도군보길면보건지소,061-550-6881,전라남도 완도군 보길면 부황리 1-22 보길면 복지회관,"전라남도 완도군 보길면 청별길 26-2, 보길면 복지회관 1층",1987-09-24
전라남도 목포시 보건소,치과의원,참조은치과의원,061-287-5535,전라남도 목포시 상동 985번지 2호,"전라남도 목포시 비파로51번길 31, 2층 (상동)",2008-04-01
전라남도 보성군 보건소,치과의원,현대치과의원,061-852-2875,전라남도 보성군 보성읍 주봉리 390번지 11호,전라남도 보성군 보성읍 현충로 23-1,1998-01-23
전라남도 완도군 보건의료원,,완도군생일면보건지소,061-550-5662,전라남도 완도군 유서리 353번지 2호,전라남도 완도군 생일면 생일로 590-32,1990-08-07
전라남도 순천시 보건소,의원,현대의원,061-754-9319,전라남도 순천시 황전면 괴목리 5번지,전라남도 순천시 황전면 괴목길 97,1996-02-12
전라남도 순천시 보건소,의원,신언수내과의원,061-724-7582,전라남도 순천시 연향동 1336번지 2호,전라남도 순천시 연향중앙상가길 29 (연향동),1999-03-02
전라남도 목포시 보건소,의원,유달연합의원,061-273-2475,전라남도 목포시 용당동 1055-9번지,"전라남도 목포시 영산로 247-1, 2층 (용당동)",1985-08-26
전라남도 완도군 보건의료원,치과의원,대성치과의원,061-553-8275,전라남도 완도군 완도읍 군내리1241-4,,2005-02-02
전라남도 나주시 보건소,치과의원,조은치과의원,061-337-2755,전라남도 나주시 남평읍 남평리 93번지 남평신통의원,"전라남도 나주시 남평읍 남평1로 22, 2층",2011-10-14
전라남도 순천시 보건소,치과의원,박석환치과의원,061-725-2882,전라남도 순천시 해룡면 상삼리 691번지 청솔@상가 201호,"전라남도 순천시 해룡면 장선배기길 284, 청솔@상가동 201호",1999-01-16
전라남도 여수시 보건소,의원,한사랑의원,061-662-6675,전라남도 여수시 교동,"전라남도 여수시 통제영4길 3, 4-5층 (교동)",1996-01-29
전라남도 여수시 보건소,의원,박경철외과의원,061-686-3716,전라남도 여수시 소라면 덕양리 1236번지 4호,"전라남도 여수시 소라면 덕양로 397, 1층",2008-05-02
전라남도 순천시 보건소,치과의원,백형모치과의원,061-754-4314,전라남도 순천시 중앙동 57번지 7호,전라남도 순천시 중앙로 126 (중앙동),1993-04-30
전라남도 완도군 보건의료원,의원,하나의원,061-554-7992,전라남도 완도군 노화읍 이포리 891-5,전라남도 완도군 노화읍 이포길 27-1,2003-02-11
전라남도 순천시 보건소,의원,현소아과의원,061-723-8571,전라남도 순천시 조례동 1823번지 8호 (2층),"전라남도 순천시 왕궁중앙길 28, 2층 (조례동)",2003-02-27
전라남도 장흥군 보건소,의원,성경의원,061-862-3838,전라남도 장흥군 장흥읍 건산리 385번지 31호,전라남도 장흥군 장흥읍 동교1길 33,2010-07-12
전라남도 순천시 보건소,,황전보건지소,061-749-6039,전라남도 순천시 황전면 괴목리 51번지 1호,전라남도 순천시 황전면 백야중길 12,2003-12-08
전라남도 순천시 보건소,한의원,동의보감한의원,061-723-9995,,"전라남도 순천시 해룡면 조례못등길 128, 1,2층",1998-12-19
전라남도 고흥군 보건소,,고흥군두원면풍류보건진료소,061-835-4332,,전라남도 고흥군 두원면 풍류2길 59,1984-11-06
전라남도 고흥군 보건소,,고흥군두원면대전보건진료소,061-832-1171,,전라남도 고흥군 두원면 두원로 1168,1985-08-30
전라남도 고흥군 보건소,,고흥군도화면발포보건진료소,061-832-7242,,전라남도 고흥군 도화면 충무사길 113,1986-12-30
전라남도 고흥군 보건소,,고흥군남양면망주보건진료소,061-833-1886,,전라남도 고흥군 남양면 망월로 89-8,1983-12-21
전라남도 무안군 보건소,치과의원,고운치과의원,061-287-7528,전라남도 무안군 일로읍 월암리 186-242번지,전라남도 무안군 일로읍 일로로 68,2006-05-26
전라남도 여수시 보건소,의원,성바오로외과의원,061-662-9593,전라남도 여수시 공화동,전라남도 여수시 동문로 103-2 (공화동),1977-06-25
전라남도 여수시 보건소,의원,신태호이비인후과의원,061-662-2226,전라남도 여수시 교동 375,전라남도 여수시 통제영2길 8-1 (교동),1981-10-02
전라남도 여수시 보건소,의원,김만달내과의원,061-663-2690,전라남도 여수시 교동,전라남도 여수시 교동시장2길 7 (교동),1983-02-25
전라남도 여수시 보건소,의원,세화이비인후과의원,061-662-3520,전라남도 여수시 교동,전라남도 여수시 중앙로 61 (교동),1982-04-20
전라남도 여수시 보건소,의원,고광후비뇨기과의원,061-662-3349,전라남도 여수시,전라남도 여수시 중앙로 67 (중앙동),1980-11-15
전라남도 완도군 보건의료원,,완도군보길면정자보건진료소,061-553-6456,전라남도 완도군 보길면 475번지,전라남도 완도군 보길면 보길로 527,1988-01-01
전라남도 완도군 보건의료원,,완도군청산면여서보건진료소,061-552-9671,전라남도 완도군 청산면 여서리 367번지,전라남도 완도군 청산면 여서도길 29-4,1987-09-13
전라남도 완도군 보건의료원,,완도군신지면동고보건진료소,061-552-7538,전라남도 완도군 신지면 동고리 512번지 1호,전라남도 완도군 신지면 신지로 1275,1985-12-01
전라남도 완도군 보건의료원,,완도군군외면고마도보건진료소,061-552-9673,전라남도 완도군 군외면 불목리 894번지,전라남도 완도군 군외면 고마도길 53,1986-09-01
전라남도 순천시 보건소,의원,연세이동훈피부과의원,061-721-4900,전라남도 순천시 조례동 1722번지 13호,"전라남도 순천시 이수로 321, 2층 (조례동)",2017-12-27
전라남도 나주시 보건소,의원,우리의원,061-331-5353,,"전라남도 나주시 남평읍 남평2로 20-1, 1층 (남평한의원)",2016-04-01
전라남도 여수시 보건소,치과의원,손치과의원,061-644-2875,전라남도 여수시 국동 1040번지(2층),,2011-04-11
전라남도 신안군 보건소,의원,소망의원,061-246-1713,전라남도 신안군 흑산면 예리 180번지 15호,전라남도 신안군 흑산면 예리2길 28,2003-07-07
전라남도 목포시 보건소,의원,정성일산부인과의원,061-274-7575,,"전라남도 목포시 청호로 176, 4층 (산정동, 쥬빌리메디센터)",2013-10-02
전라남도 목포시 보건소,의원,이수내과의원,061-272-7733,전라남도 목포시 산정동 1044-10번지 3층,"전라남도 목포시 산정로 148, 3층 (산정동)",2002-01-15
전라남도 신안군 보건소,,신의면보건지소,061-275-7024,전라남도 신안군 신의면 상태동리 375번지 3호,전라남도 신안군 신의면 신의로 661,1978-01-05
전라남도 순천시 보건소,치과의원,꼬마치과의원,061-723-2804,전라남도 순천시 조례동 593-1,"전라남도 순천시 봉화3길 14-32, 2층 202호 (조례동)",2010-04-02
,치과의원,김치과의원,061-395-2804,전라남도 장성군 장성읍 영천리 926-8,"전라남도 장성군 장성읍 영천로 128, 3층 김치과",2010-05-28
전라남도 곡성군 보건의료원,,곡성군삼기면근촌보건진료소,061-362-2558,전라남도 곡성군 삼기면 근촌리 232번지 3호,전라남도 곡성군 삼기면 노치로 1235,1981-09-15
전라남도 곡성군 보건의료원,,곡성군겸면흥복보건진료소,061-362-1211,전라남도 곡성군 겸면 송강리 16번지 2호,전라남도 곡성군 겸면 산이재로 687,1982-10-06
전라남도 곡성군 보건의료원,,곡성군오곡면압록보건진료소,061-362-0643,전라남도 곡성군 오곡면 압록리 58번지 6호,전라남도 곡성군 오곡면 섬진강로 1066,1982-10-06
전라남도 곡성군 보건의료원,,곡성군오산면선세보건진료소,061-362-4305,전라남도 곡성군 오산면 선세리 742번지,전라남도 곡성군 오산면 작천길 17,1983-10-01
전라남도 곡성군 보건의료원,,곡성군석곡면연반보건진료소,061-362-3609,전라남도 곡성군 석곡면 연반리 258번지 4호,전라남도 곡성군 석곡면 전기길 75,1983-10-01
전라남도 장흥군 보건소,의원,허경석가정의학과 의원,061-867-7223,전라남도 장흥군 회진면 회진리 925-7,전라남도 장흥군 회진면 가학회진로 1608,2017-05-18
전라남도 영광군 보건소,,군남반안보건진료소,,,전라남도 영광군 군남면 봉덕로7길 10 (반안여성경로당),2008-08-13
전라남도 영광군 보건소,,군서덕산보건진료소,,,전라남도 영광군 군서면 삼산로 306 (덕산 보건진료소),1984-10-01
전라남도 영광군 보건소,,불갑모악보건진료소,061-352-7933,,전라남도 영광군 불갑면 불갑사로2길 3-2,1985-10-01
전라남도 영광군 보건소,,묘량삼효보건진료소,061-352-5700,,전라남도 영광군 묘량면 동삼로 319,1982-10-01
전라남도 영광군 보건소,,대마동부보건진료소,061-352-3584,,전라남도 영광군 대마면 영장로10길 86,1983-10-01
전라남도 담양군 보건소,의원,대치정의원,061-383-4257,전라남도 담양군 대전면 대치리 907,전라남도 담양군 대전면 추성1로 198,2007-11-30
전라남도 여수시 보건소,,송도보건진료소,061-666-9363,,전라남도 여수시 돌산읍 송도길 51-19,1987-09-01
전라남도 목포시 보건소,치과의원,느티나무치과의원,061-284-2275,전라남도 목포시 상동 983-5번지 2층,"전라남도 목포시 신흥로 20, 2층 (상동)",2004-04-09
전라남도 고흥군 보건소,,고흥군도양읍시산보건진료소,,,전라남도 고흥군 도양읍 시산석금길 26,1986-08-31
전라남도 고흥군 보건소,,고흥군도화면지죽보건진료소,061-834-2881,,전라남도 고흥군 도화면 지호길 7-3,1988-01-29
전라남도 구례군 보건의료원,치과의원,중앙치과의원,061-783-2875,전라남도 구례군 구례읍 봉동리 376번지,,2002-11-29
전라남도 광양시 보건소,의원,박이비인후과의원,061-794-6800,전라남도 광양시 중동 1634번지 12호,"전라남도 광양시 중마중앙로 87-1, 2층 (중동)",2006-04-17
전라남도 순천시 보건소,의원,조례미소의원,061-722-4321,전라남도 순천시 조례동 889번지 1호 3층,"전라남도 순천시 봉화2길 99, 창암빌딩 3층 (조례동)",2019-01-08
전라남도 함평군 보건소,의원,하나로의원,061-323-3553,전라남도 함평군 함평읍 내교리 193번지 1호 함평농협,"전라남도 함평군 함평읍 내바람길 42, 함평농협 2층",2019-01-08
전라남도 담양군 보건소,의원,새하나의원,061-382-7577,전라남도 담양군 수북면 수북리 145번지,"전라남도 담양군 수북면 한수동로 564, 2층",2014-04-29
전라남도 광양시 보건소,의원,박종후정형외과의원,061-761-7600,전라남도 광양시 광양읍 칠성리 35번지 8호,"전라남도 광양시 광양읍 신재로 77, 1층",2020-02-17
전라남도 광양시 보건소,한의원,중화부부한의원,061-913-1075,,"전라남도 광양시 광양읍 용강로 18, 2층",2015-03-02
전라남도 장흥군 보건소,치과의원,이한영치과의원,061-863-5181,전라남도 장흥군 장흥읍 건산리 385-31,,1988-02-29
전라남도 화순군 보건소,치과의원,일이삼 플란트치과의원,061-373-2833,전라남도 화순군 화순읍 향청리 117번지,"전라남도 화순군 화순읍 진각로 120, 일이삼 플란트치과",2011-03-16
전라남도 강진군 보건소,의원,마량의원,061-434-9933,전라남도 강진군 마량면 마량리 987번지 43호 마량공용버스터미널,"전라남도 강진군 마량면 마량4길 11, 1층",2017-11-06
전라남도 장흥군 보건소,치과의원,지평희치과의원,061-864-2804,전라남도 장흥군 장흥읍 건산리 388-1,,1998-11-04
전라남도 목포시 보건소,의원,유달성형외과의원,061-279-5565,전라남도 목포시 상동 847번지 9호 2층,"전라남도 목포시 백년대로 325, 2층 (상동)",2000-01-31
전라남도 장흥군 보건소,치과의원,신세계치과의원,061-867-7528,전라남도 장흥군 관산읍 죽교리 467-1,,2008-07-01
전라남도 무안군 보건소,치과의원,중앙치과의원,061-284-2802,전라남도 무안군 일로읍 월암리 109-6번지,,1999-10-30
전라남도 진도군 보건소,치과의원,신치과의원,061-542-2804,전라남도 진도군 진도읍 남동리 782번지 1호,,2013-02-12
전라남도 목포시 보건소,치과의원,베스트e치과의원,061-278-2828,,"전라남도 목포시 청호로 175, 2층 (산정동)",2016-11-08
전라남도 화순군 보건소,치과의원,화순미래치과의원,061-374-7528,전라남도 화순군 화순읍 향청리 52번지,,2012-10-29
전라남도 신안군 보건소,,흑산면사리보건진료소,061-246-2040,전라남도 신안군 흑산면 사리 295번지,전라남도 신안군 흑산면 흑산일주로 1501,1996-10-23
전라남도 나주시 보건소,의원,김옥석정형외과의원,061-333-0777,전라남도 나주시 성북동 138번지 44호,"전라남도 나주시 나주로 203 (성북동, 김옥석정형외과)",1986-04-12
전라남도 완도군 보건의료원,의원,늘편한내과의원,061-555-0110,,전라남도 완도군 군외면 청해진서로 2142-1 (군외면청년연합회관),2015-10-12
전라남도 순천시 보건소,치과의원,정건치과의원,061-742-2875,전라남도 순천시 장천동 55번지 6호,"전라남도 순천시 장명로 18, 2층 (장천동)",1992-11-23
전라남도 완도군 보건의료원,의원,제중의원,,,전라남도 완도군 완도읍 개포로 154-9,2009-04-15
전라남도 순천시 보건소,의원,하나비뇨기과의원,061-722-8575,전라남도 순천시 조례동 1588번지 1호 5층,"전라남도 순천시 순광로 14, 드림내과 5층 (조례동)",2006-09-25
전라남도 함평군 보건소,,동정보건진료소,061-322-5493,전라남도 함평군 신광면 동정리,전라남도 함평군 신광면 군유로 436,1964-02-11
전라남도 순천시 보건소,의원,행복한가정의원,061-724-7567,전라남도 순천시 해룡면 상삼리 651번지 2호 (2층),"전라남도 순천시 해룡면 장선배기길 256, 2층",2002-01-19
전라남도 완도군 보건의료원,의원,권의원,061-554-0650,전라남도 완도군 고금면 덕암리 627번지 15호,전라남도 완도군 고금면 고금동로 8,2009-06-02
전라남도 함평군 보건소,,영흥보건진료소,061-322-7612,전라남도 함평군 엄다면 영흥리,전라남도 함평군 엄다면 영흥길 78-19,1964-02-11
전라남도 순천시 보건소,의원,위앤장서내과의원,061-724-4600,"전라남도 순천시 연향동 1478번지 3호 (2층,3층,4층)","전라남도 순천시 대석길 31, 2,3,4층 (연향동)",2002-03-13
전라남도 강진군 보건소,의원,다나통증의학과의원,061-432-5200,,전라남도 강진군 강진읍 영랑로 36,2014-05-01
